,Election,Year,State,District,Party,Candidate,Votes Received,Vote Percentage
2487,house,2012,NY,20th District,REP,Robert Dieterich,86740,31.6
2488,house,2012,NY,21st District,DEM,William Owens,115883,50.3
2489,house,2012,NY,21st District,REP,Matthew Doheny,110804,48.1
2490,house,2012,NY,21st District,Other,Donald Hassig,3683,1.6
2491,house,2012,NY,22nd District,REP,Richard Hanna,146055,60.9
2492,house,2012,NY,22nd District,DEM,Dan Lamb,93681,39.1
2493,house,2012,NY,23rd District,REP,Thomas Reed,126519,51.9
2494,house,2012,NY,23rd District,DEM,Nate Shinagawa,117055,48.1
2495,house,2012,NY,24th District,DEM,Daniel Maffei,130969,48.4
2496,house,2012,NY,24th District,REP,Ann Buerkle,118578,43.8
2497,house,2012,NY,24th District,Other,Ursula Rozum,21327,7.9
2498,house,2012,NY,25th District,DEM,Louise Slaughter,166342,57.2
2499,house,2012,NY,25th District,REP,Maggie Brooks,124585,42.8
2500,house,2012,NY,26th District,DEM,Brian Higgins,197799,74.6
2501,house,2012,NY,26th District,REP,Michael Madigan,67209,25.4
2502,house,2012,NY,27th District,REP,Chris Collins,150446,50.7
2503,house,2012,NY,27th District,DEM,Kathy Hochul,146134,49.3
2504,house,2012,OH,1st District,REP,Steve Chabot,196783,58.3
2505,house,2012,OH,1st District,DEM,Jeff Sinnard,125030,37.1
2506,house,2012,OH,1st District,Other,Jim Berns,9245,2.7
2507,house,2012,OH,1st District,Other,Rich Stevenson,6351,1.9
2508,house,2012,OH,2nd District,REP,Brad Wenstrup,189400,59.1
2509,house,2012,OH,2nd District,DEM,William Smith,131256,40.9
2510,house,2012,OH,3rd District,DEM,Joyce Beatty,188831,67.8
2511,house,2012,OH,3rd District,REP,Chris Long,74938,26.9
2512,house,2012,OH,3rd District,Other,Richard Ehrbar,8826,3.2
2513,house,2012,OH,3rd District,Other,Robert Fitrakis,5993,2.2
2514,house,2012,OH,4th District,REP,Jim Jordan,179458,58.7
2515,house,2012,OH,4th District,DEM,Jim Slone,110663,36.2
2516,house,2012,OH,4th District,Other,Chris Kalla,15487,5.1
2517,house,2012,OH,5th District,REP,Bob Latta,197435,57.6
2518,house,2012,OH,5th District,DEM,Angela Zimmann,133471,38.9
2519,house,2012,OH,5th District,Other,Eric Eberly,11971,3.5
2520,house,2012,OH,6th District,REP,Bill Johnson,159621,53.4
2521,house,2012,OH,6th District,DEM,Charlie Wilson,139438,46.6
2522,house,2012,OH,7th District,REP,Bob Gibbs,174826,56.7
2523,house,2012,OH,7th District,DEM,Joyce Healy-Abrams,133686,43.3
2524,house,2012,OH,8th District,REP,John Boehner,Uncontested race,43.3
2525,house,2012,OH,9th District,DEM,Marcy Kaptur,206763,72.6
2526,house,2012,OH,9th District,REP,Samuel Wurzelbacher,66844,23.5
2527,house,2012,OH,9th District,Other,Sean Stipe,11119,3.9
2528,house,2012,OH,10th District,REP,Mike Turner,202166,60.2
2529,house,2012,OH,10th District,DEM,Sharen Swartz Neuhardt,124079,36.9
2530,house,2012,OH,10th District,Other,David Harlow,9729,2.9
2531,house,2012,OH,11th District,DEM,Marcia Fudge,Uncontested race,2.9
2532,house,2012,OH,12th District,REP,Pat Tiberi,227079,63.7
2533,house,2012,OH,12th District,DEM,Jim Reese,129259,36.3
2534,house,2012,OH,13th District,DEM,Timothy Ryan,227032,72.5
2535,house,2012,OH,13th District,REP,Marisha Agana,86261,27.5
2536,house,2012,OH,14th District,REP,David Joyce,179704,54.3
2537,house,2012,OH,14th District,DEM,Dale Blanchard,127467,38.5
2538,house,2012,OH,14th District,Other,Elaine Mastromatteo,12546,3.8
2539,house,2012,OH,14th District,Other,David Macko,11088,3.4
2540,house,2012,OH,15th District,REP,Steve Stivers,199598,61.8
2541,house,2012,OH,15th District,DEM,Pat Lang,123201,38.2
2542,house,2012,OH,16th District,REP,Jim Renacci,181137,52.2
2543,house,2012,OH,16th District,DEM,Betty Sutton,165638,47.8
2544,house,2012,OK,1st District,REP,Jim Bridenstine,180886,63.5
2545,house,2012,OK,1st District,DEM,John Olson,91310,32.0
2546,house,2012,OK,1st District,Other,Craig Allen,12786,4.5
2547,house,2012,OK,2nd District,REP,Markwayne Mullin,143253,57.3
2548,house,2012,OK,2nd District,DEM,Rob Wallace,95763,38.3
2549,house,2012,OK,2nd District,Other,Michael Fulks,10794,4.3
2550,house,2012,OK,3rd District,REP,Frank Lucas,200963,75.3
2551,house,2012,OK,3rd District,DEM,Timothy Murray,53295,20.0
2552,house,2012,OK,3rd District,Other,William Sanders,12756,4.8
2553,house,2012,OK,4th District,REP,Tom Cole,176561,67.9
2554,house,2012,OK,4th District,DEM,Donna Bebo,71755,27.6
2555,house,2012,OK,4th District,Other,RJ Harris,11725,4.5
2556,house,2012,OK,5th District,REP,James Lankford,153421,58.7
2557,house,2012,OK,5th District,DEM,Tom Guild,97359,37.3
2558,house,2012,OK,5th District,Other,Pat Martin,5380,2.1
2559,house,2012,OK,5th District,Other,Robert Murphy,5162,2.0
2560,house,2012,OR,1st District,DEM,Suzanne Bonamici,186060,59.7
2561,house,2012,OR,1st District,REP,Delinda Morgan,103194,33.1
2562,house,2012,OR,1st District,Other,Steven Reynolds,13824,4.4
2563,house,2012,OR,1st District,Other,Bob Ekstrom,8351,2.7
2564,house,2012,OR,2nd District,REP,Greg Walden,222575,69.0
2565,house,2012,OR,2nd District,DEM,Joyce Segers,93451,29.0
2566,house,2012,OR,2nd District,Other,Joe Tabor,6756,2.1
2567,house,2012,OR,3rd District,DEM,Earl Blumenauer,257460,74.6
2568,house,2012,OR,3rd District,REP,Ronald Green,68839,19.9
2569,house,2012,OR,3rd District,Other,Woodrow Broadnax,12599,3.6
2570,house,2012,OR,3rd District,Other,Michael Cline,6374,1.8
2571,house,2012,OR,4th District,DEM,Peter DeFazio,208906,59.1
2572,house,2012,OR,4th District,REP,Art Robinson,138351,39.2
2573,house,2012,OR,4th District,Other,Chuck Huntting,6055,1.7
2574,house,2012,OR,5th District,DEM,Kurt Schrader,173620,54.1
2575,house,2012,OR,5th District,REP,Fred Thompson,136620,42.6
2576,house,2012,OR,5th District,Other,Christina Lugo,7282,2.3
2577,house,2012,OR,5th District,Other,Raymond Baldwin,3485,1.1
2578,house,2012,PA,1st District,DEM,Robert Brady,225985,85.0
2579,house,2012,PA,1st District,REP,John Featherman,39736,15.0
2580,house,2012,PA,2nd District,DEM,Chaka Fattah,301869,89.4
2581,house,2012,PA,2nd District,REP,Robert Mansfield,31648,9.4
2582,house,2012,PA,2nd District,Other,James Foster,4243,1.3
2583,house,2012,PA,3rd District,REP,Mike Kelly,160149,54.7
2584,house,2012,PA,3rd District,DEM,Missa Eaton,120142,41.1
2585,house,2012,PA,3rd District,Other,Steven Porter,12352,4.2
2586,house,2012,PA,4th District,REP,Scott Perry,179340,59.7
2587,house,2012,PA,4th District,DEM,Harry Perkinson,103387,34.4
2588,house,2012,PA,4th District,Other,Wayne Wolff,11425,3.8
2589,house,2012,PA,4th District,Other,Michael Koffenberger,6135,2.0
2590,house,2012,PA,5th District,REP,Glenn Thompson,172042,62.9
2591,house,2012,PA,5th District,DEM,Charles Dumas,101615,37.1
2592,house,2012,PA,6th District,REP,Jim Gerlach,183647,57.0
2593,house,2012,PA,6th District,DEM,Manan Trivedi,138688,43.0
2594,house,2012,PA,7th District,REP,Patrick Meehan,203977,59.5
2595,house,2012,PA,7th District,DEM,George Badey,139067,40.5
2596,house,2012,PA,8th District,REP,Michael Fitzpatrick,199283,56.6
2597,house,2012,PA,8th District,DEM,Kathy Boockvar,152515,43.4
2598,house,2012,PA,9th District,REP,Bill Shuster,166038,61.6
2599,house,2012,PA,9th District,DEM,Karen Ramsburg,103420,38.4
2600,house,2012,PA,10th District,REP,Thomas Marino,176273,65.9
2601,house,2012,PA,10th District,DEM,Philip Scollo,91355,34.1
2602,house,2012,PA,11th District,REP,Louis Barletta,163733,58.5
2603,house,2012,PA,11th District,DEM,Gene Stilp,116315,41.5
2604,house,2012,PA,12th District,REP,Keith Rothfus,173340,51.8
2605,house,2012,PA,12th District,DEM,Mark Critz,161397,48.2
2606,house,2012,PA,13th District,DEM,Allyson Schwartz,204686,68.9
2607,house,2012,PA,13th District,REP,Joseph Rooney,92308,31.1
2608,house,2012,PA,14th District,DEM,Mike Doyle,249012,76.9
2609,house,2012,PA,14th District,REP,Hans Lessmann,74955,23.1
2610,house,2012,PA,15th District,REP,Charles Dent,165629,56.7
2611,house,2012,PA,15th District,DEM,Rick Daugherty,126661,43.3
2612,house,2012,PA,16th District,REP,Joseph Pitts,154337,55.0
2613,house,2012,PA,16th District,DEM,Aryanna Strader,109026,38.9
2614,house,2012,PA,16th District,Other,John Murphy,12058,4.3
2615,house,2012,PA,16th District,Other,James Bednarski,5093,1.8
2616,house,2012,PA,17th District,DEM,Matthew Cartwright,157629,60.5
2617,house,2012,PA,17th District,REP,Laureen Cummings,102754,39.5
2618,house,2012,PA,18th District,REP,Tim Murphy,212712,64.0
2619,house,2012,PA,18th District,DEM,Larry Maggi,119791,36.0
2620,house,2012,RI,1st District,DEM,David Cicilline,106044,52.4
2621,house,2012,RI,1st District,REP,Brendan Doherty,84018,41.5
2622,house,2012,RI,1st District,Other,David Vogel,12326,6.1
2623,house,2012,RI,2nd District,DEM,James Langevin,121556,55.7
2624,house,2012,RI,2nd District,REP,Michael Riley,76852,35.2
2625,house,2012,RI,2nd District,Other,Abel Collins,19877,9.1
2626,house,2012,SC,1st District,REP,Tim Scott,176738,62.4
2627,house,2012,SC,1st District,DEM,Bobbie Rose,100351,35.4
2628,house,2012,SC,1st District,Other,Keith Blandford,6250,2.2
2629,house,2012,SC,2nd District,REP,Joe Wilson,Uncontested race,2.2
2630,house,2012,SC,3rd District,REP,Jeff Duncan,168780,66.7
2631,house,2012,SC,3rd District,DEM,Brian Doyle,84312,33.3
2632,house,2012,SC,4th District,REP,Trey Gowdy,171505,65.0
2633,house,2012,SC,4th District,DEM,Deb Morrow,89094,33.8
2634,house,2012,SC,4th District,Other,Jeff Sumerel,3341,1.3
2635,house,2012,SC,5th District,REP,Mick Mulvaney,153047,55.6
2636,house,2012,SC,5th District,DEM,Joyce Knott,122268,44.4
2637,house,2012,SC,6th District,DEM,James Clyburn,213953,94.4
2638,house,2012,SC,6th District,Other,Nammu Muhammad,12713,5.6
2639,house,2012,SC,7th District,REP,Tom Rice,147750,54.9
2640,house,2012,SC,7th District,DEM,Gloria Bromell Tinubu,121418,45.1
2641,house,2012,SD,1st District,REP,Kristi Noem,207581,57.5
2642,house,2012,SD,1st District,DEM,Matt Varilek,153725,42.5
2643,house,2012,TN,1st District,REP,David Roe,182186,76.1
2644,house,2012,TN,1st District,DEM,Alan Woodruff,47597,19.9
2645,house,2012,TN,1st District,Other,Karen Brackett,4834,2.0
2646,house,2012,TN,1st District,Other,Robert Smith,2870,1.2
2647,house,2012,TN,1st District,Other,Michael Salyer,2042,0.9
2648,house,2012,TN,2nd District,REP,John Duncan,193312,74.5
2649,house,2012,TN,2nd District,DEM,Troy Goodale,53336,20.5
2650,house,2012,TN,2nd District,Other,Norris Dryer,5639,2.2
2651,house,2012,TN,2nd District,Other,Greg Samples,4324,1.7
2652,house,2012,TN,2nd District,Other,Brandon Stewart,2934,1.1
2653,house,2012,TN,3rd District,REP,Chuck Fleischmann,157725,61.5
2654,house,2012,TN,3rd District,DEM,Mary Headrick,91031,35.5
2655,house,2012,TN,3rd District,Other,Matthew Deniston,7897,3.1
2656,house,2012,TN,4th District,REP,Scott DesJarlais,128500,55.8
2657,house,2012,TN,4th District,DEM,Eric Stewart,101944,44.2
2658,house,2012,TN,5th District,DEM,Jim Cooper,166999,65.2
2659,house,2012,TN,5th District,REP,Brad Staats,83982,32.8
2660,house,2012,TN,5th District,Other,John Miglietta,5058,2.0
2661,house,2012,TN,6th District,REP,Diane Black,184264,76.6
2662,house,2012,TN,6th District,Other,Scott Beasley,34746,14.4
2663,house,2012,TN,6th District,Other,Pat Riley,21613,9.0
2664,house,2012,TN,7th District,REP,Marsha Blackburn,180775,71.0
2665,house,2012,TN,7th District,DEM,Credo Amouzouvik,61050,24.0
2666,house,2012,TN,7th District,Other,Howard Switzer,4584,1.8
2667,house,2012,TN,7th District,Other,Jack Arnold,4219,1.7
2668,house,2012,TN,7th District,Other,William Akin,2728,1.1
2669,house,2012,TN,7th District,Other,Leonard Ladner,1249,0.5
2670,house,2012,TN,8th District,REP,Stephen Fincher,190571,68.3
2671,house,2012,TN,8th District,DEM,Timothy Dixon,79347,28.4
2672,house,2012,TN,8th District,Other,James Hart,6132,2.2
2673,house,2012,TN,8th District,Other,Mark Rawles,2864,1.0
2674,house,2012,TN,9th District,DEM,Steve Cohen,188245,75.1
2675,house,2012,TN,9th District,REP,George Flinn,59676,23.8
2676,house,2012,TN,9th District,Other,Brian Saulsberry,1444,0.6
2677,house,2012,TN,9th District,Other,Gregory Joiner,1368,0.5
2678,house,2012,TX,1st District,REP,Louie Gohmert,182621,71.7
2679,house,2012,TX,1st District,DEM,Shirley McKellar,67758,26.6
2680,house,2012,TX,1st District,Other,Clark Patterson,4161,1.6
2681,house,2012,TX,2nd District,REP,Ted Poe,159369,64.8
2682,house,2012,TX,2nd District,DEM,Jim Dougherty,80262,32.7
2683,house,2012,TX,2nd District,Other,Kenneth Duncan,4131,1.7
2684,house,2012,TX,2nd District,Other,Mark Roberts,1999,0.8
2685,house,2012,TX,3rd District,REP,Sam Johnson,Uncontested race,0.8
2686,house,2012,TX,4th District,REP,Ralph Hall,182416,73.0
2687,house,2012,TX,4th District,DEM,VaLinda Hathcox,60124,24.1
2688,house,2012,TX,4th District,Other,Thomas Griffing,7246,2.9
2689,house,2012,TX,5th District,REP,Jeb Hensarling,134005,64.4
2690,house,2012,TX,5th District,DEM,Linda Mrosko,69025,33.2
2691,house,2012,TX,5th District,Other,Ken Ashby,4957,2.4
2692,house,2012,TX,6th District,REP,Joe Barton,144892,58.0
2693,house,2012,TX,6th District,DEM,Kenneth Sanders,97933,39.2
2694,house,2012,TX,6th District,Other,Hugh Chauvin,4843,1.9
2695,house,2012,TX,6th District,Other,Brandon Parmer,2015,0.8
2696,house,2012,TX,7th District,REP,John Culberson,142477,60.8
2697,house,2012,TX,7th District,DEM,James Cargas,85253,36.4
2698,house,2012,TX,7th District,Other,Drew Parks,4654,2.0
2699,house,2012,TX,7th District,Other,Lance Findley,1811,0.8
2700,house,2012,TX,8th District,REP,Kevin Brady,191254,77.4
2701,house,2012,TX,8th District,DEM,Neil Burns,50077,20.3
2702,house,2012,TX,8th District,Other,Roy Hall,5851,2.4
2703,house,2012,TX,9th District,DEM,Al Green,143850,78.5
2704,house,2012,TX,9th District,REP,Steve Mueller,36073,19.7
2705,house,2012,TX,9th District,Other,Vanessa Foster,1738,0.9
2706,house,2012,TX,9th District,Other,John Wieder,1604,0.9
2707,house,2012,TX,10th District,REP,Michael McCaul,159391,60.6
2708,house,2012,TX,10th District,DEM,Tawana Cadien,95316,36.2
2709,house,2012,TX,10th District,Other,Richard Priest,8497,3.2
2710,house,2012,TX,11th District,REP,Mike Conaway,177166,78.6
2711,house,2012,TX,11th District,DEM,Jim Riley,41842,18.6
2712,house,2012,TX,11th District,Other,Scott Ballard,6283,2.8
2713,house,2012,TX,12th District,REP,Kay Granger,175298,70.9
2714,house,2012,TX,12th District,DEM,David Robinson,65991,26.7
2715,house,2012,TX,12th District,Other,Matthew Solodow,5968,2.4
2716,house,2012,TX,13th District,REP,Mac Thornberry,187385,91.0
2717,house,2012,TX,13th District,Other,John Deek,12671,6.2
2718,house,2012,TX,13th District,Other,Keith Houston,5895,2.9
2719,house,2012,TX,14th District,REP,Randy Weber,130937,53.5
2720,house,2012,TX,14th District,DEM,Nick Lampson,109264,44.6
2721,house,2012,TX,14th District,Other,Zach Grady,3594,1.5
2722,house,2012,TX,14th District,Other,Rhett Smith,1053,0.4
2723,house,2012,TX,15th District,DEM,Ruben Hinojosa,89143,60.9
2724,house,2012,TX,15th District,REP,Dale Brueggemann,53892,36.8
2725,house,2012,TX,15th District,Other,Ronald Finch,3302,2.3
2726,house,2012,TX,16th District,DEM,Beto O'Rourke,100804,65.5
2727,house,2012,TX,16th District,REP,Barbara Carrasco,50478,32.8
2728,house,2012,TX,16th District,Other,Junart Sodoy,2529,1.6
2729,house,2012,TX,17th District,REP,Bill Flores,143126,79.9
2730,house,2012,TX,17th District,Other,Ben Easton,35902,20.1
2731,house,2012,TX,18th District,DEM,Sheila Jackson Lee,145893,75.0
2732,house,2012,TX,18th District,REP,Sean Seibert,43926,22.6
2733,house,2012,TX,18th District,Other,Christopher Barber,4678,2.4
2734,house,2012,TX,19th District,REP,Randy Neugebauer,160067,85.0
2735,house,2012,TX,19th District,Other,Chip Peterson,28345,15.0
2736,house,2012,TX,20th District,DEM,Joaquin Castro,118719,64.0
2737,house,2012,TX,20th District,REP,David Rosa,62041,33.4
2738,house,2012,TX,20th District,Other,Tracy Potts,3117,1.7
2739,house,2012,TX,20th District,Other,Antonio Diaz,1621,0.9
2740,house,2012,TX,21st District,REP,Lamar Smith,186525,60.6
2741,house,2012,TX,21st District,DEM,Candace Duval,108852,35.4
2742,house,2012,TX,21st District,Other,John-Henry Liberty,12469,4.1
2743,house,2012,TX,22nd District,REP,Pete Olson,160471,64.1
2744,house,2012,TX,22nd District,DEM,Kesha Rogers,80025,31.9
2745,house,2012,TX,22nd District,Other,Steve Susman,5973,2.4
2746,house,2012,TX,22nd District,Other,Don Cook,4050,1.6
2747,house,2012,TX,23rd District,DEM,Pete Gallego,96477,50.3
2748,house,2012,TX,23rd District,REP,Francisco Canseco,87255,45.5
2749,house,2012,TX,23rd District,Other,Jeffrey Blunt,5827,3.0
2750,house,2012,TX,23rd District,Other,Ed Scharf,2099,1.1
2751,house,2012,TX,24th District,REP,Kenny Marchant,148207,61.0
2752,house,2012,TX,24th District,DEM,Tim Rusk,87347,36.0
2753,house,2012,TX,24th District,Other,John Stathas,7226,3.0
2754,house,2012,TX,25th District,REP,Roger Williams,153868,58.5
2755,house,2012,TX,25th District,DEM,Elaine Henderson,98427,37.4
2756,house,2012,TX,25th District,Other,Betsy Dewey,10822,4.1
2757,house,2012,TX,26th District,REP,Michael Burgess,175669,68.3
2758,house,2012,TX,26th District,DEM,David Sanchez,73661,28.6
2759,house,2012,TX,26th District,Other,Mark Boler,7780,3.0
2760,house,2012,TX,27th District,REP,Blake Farenthold,120490,56.7
2761,house,2012,TX,27th District,DEM,Rose Harrison,83280,39.2
2762,house,2012,TX,27th District,Other,Bret Baldwin,5345,2.5
2763,house,2012,TX,27th District,Other,Corrie Byrd,3208,1.5
2764,house,2012,TX,28th District,DEM,Henry Cuellar,112262,67.9
2765,house,2012,TX,28th District,REP,William Hayward,49095,29.7
2766,house,2012,TX,28th District,Other,Patrick Hisel,2453,1.5
2767,house,2012,TX,28th District,Other,Michael Cary,1403,0.8
2768,house,2012,TX,29th District,DEM,Gene Green,85920,90.0
2769,house,2012,TX,29th District,Other,Jamey Stanczak,4988,5.2
2770,house,2012,TX,29th District,Other,Maria Selva,4550,4.8
2771,house,2012,TX,30th District,DEM,Eddie Johnson,169889,78.9
2772,house,2012,TX,30th District,REP,Travis Washington,40841,19.0
2773,house,2012,TX,30th District,Other,Ed Rankin,4693,2.2
2774,house,2012,TX,31st District,REP,John Carter,145096,61.3
2775,house,2012,TX,31st District,DEM,Stephen Wyman,82791,35.0
2776,house,2012,TX,31st District,Other,Ethan Garofolo,8846,3.7
2777,house,2012,TX,32nd District,REP,Pete Sessions,146129,58.3
2778,house,2012,TX,32nd District,DEM,Katherine McGovern,98867,39.4
2779,house,2012,TX,32nd District,Other,Seth Hollist,5664,2.3
2780,house,2012,TX,33rd District,DEM,Marc Veasey,84940,72.5
2781,house,2012,TX,33rd District,REP,Chuck Bradley,30152,25.7
2782,house,2012,TX,33rd District,Other,Edward Lindsay,2006,1.7
2783,house,2012,TX,34th District,DEM,Filemon Vela,88781,62.2
2784,house,2012,TX,34th District,REP,Jessica Bradshaw,51338,35.9
2785,house,2012,TX,34th District,Other,Ziggy Shanklin,2685,1.9
2786,house,2012,TX,35th District,DEM,Lloyd Doggett,105260,64.0
2787,house,2012,TX,35th District,REP,Susan Narvaiz,52686,32.0
2788,house,2012,TX,35th District,Other,Ross Leone,4063,2.5
2789,house,2012,TX,35th District,Other,Meghan Owen,2528,1.5
2790,house,2012,TX,36th District,REP,Steve Stockman,165388,70.8
2791,house,2012,TX,36th District,DEM,Max Martin,62052,26.6
2792,house,2012,TX,36th District,Other,Michael Cole,6274,2.7
2793,house,2012,UT,1st District,REP,Rob Bishop,161546,71.5
2794,house,2012,UT,1st District,DEM,Donna McAleer,55740,24.7
2795,house,2012,UT,1st District,Other,Sherry Phipps,8603,3.8
2796,house,2012,UT,2nd District,REP,Chris Stewart,139860,62.3
2797,house,2012,UT,2nd District,DEM,Jay Seegmiller,75399,33.6
2798,house,2012,UT,2nd District,Other,Jonathan Garrard,4298,1.9
2799,house,2012,UT,2nd District,Other,Joseph Andrade,2615,1.2
2800,house,2012,UT,2nd District,Other,Charles Kimball,2449,1.1
2801,house,2012,UT,3rd District,REP,Jason Chaffetz,180760,76.4
2802,house,2012,UT,3rd District,DEM,Soren Simonsen,55879,23.6
2803,house,2012,UT,4th District,DEM,Jim Matheson,108275,49.3
2804,house,2012,UT,4th District,REP,Mia Love,105629,48.1
2805,house,2012,UT,4th District,Other,Jim Vein,5703,2.6
2806,house,2012,VA,1st District,REP,Robert Wittman,200736,56.1
2807,house,2012,VA,1st District,DEM,Adam Cook,146844,41.0
2808,house,2012,VA,1st District,Other,Glenda Parker,10295,2.9
2809,house,2012,VA,2nd District,REP,Scott Rigell,164977,53.8
2810,house,2012,VA,2nd District,DEM,Paul Hirschbiel,141697,46.2
2811,house,2012,VA,3rd District,DEM,Robert Scott,246155,81.2
2812,house,2012,VA,3rd District,REP,Dean Longo,57007,18.8
2813,house,2012,VA,4th District,REP,Randy Forbes,198999,57.1
2814,house,2012,VA,4th District,DEM,Ella Ward,149504,42.9
2815,house,2012,VA,5th District,REP,Robert Hurt,192020,55.3
2816,house,2012,VA,5th District,DEM,John Douglass,149906,43.2
2817,house,2012,VA,5th District,Other,Kenneth Hildebrandt,5439,1.6
2818,house,2012,VA,6th District,REP,Robert Goodlatte,209701,65.6
2819,house,2012,VA,6th District,DEM,Andy Schmookler,109929,34.4
2820,house,2012,VA,7th District,REP,Eric Cantor,222345,58.6
2821,house,2012,VA,7th District,DEM,Wayne Powell,157249,41.4
2822,house,2012,VA,8th District,DEM,James Moran,210347,64.6
2823,house,2012,VA,8th District,REP,Patrick Murray,99964,30.7
2824,house,2012,VA,8th District,Other,Jason Howell,9763,3.0
2825,house,2012,VA,8th District,Other,Janet Murphy,5665,1.7
2826,house,2012,VA,9th District,REP,Morgan Griffith,183278,61.2
2827,house,2012,VA,9th District,DEM,Anthony Flaccavento,115972,38.8
2828,house,2012,VA,10th District,REP,Frank Wolf,201937,58.8
2829,house,2012,VA,10th District,DEM,Kristin Cabral,131875,38.4
2830,house,2012,VA,10th District,Other,Kevin Chisholm,9496,2.8
2831,house,2012,VA,11th District,DEM,Gerald Connolly,176686,61.0
2832,house,2012,VA,11th District,REP,Chris Perkins,102970,35.5
2833,house,2012,VA,11th District,Other,Mark Gibson,3478,1.2
2834,house,2012,VA,11th District,Other,Christopher DeCarlo,2785,1.0
2835,house,2012,VA,11th District,Other,Joe Galdo,2000,0.7
2836,house,2012,VA,11th District,Other,Peter Marchetti,1790,0.6
2837,house,2012,VT,1st District,DEM,Peter Welch,209271,72.0
2838,house,2012,VT,1st District,REP,Mark Donka,67511,23.2
2839,house,2012,VT,1st District,Other,Sam Desrochers,8281,2.9
2840,house,2012,VT,1st District,Other,Jane Newton,4221,1.5
2841,house,2012,VT,1st District,Other,"Andre
LaFramboise",1176,0.4
2842,house,2012,WA,1st District,DEM,Suzan DelBene,197502,58.7
2843,house,2012,WA,1st District,REP,John Koster,139199,41.3
2844,house,2012,WA,2nd District,DEM,Rick Larsen,169097,60.9
2845,house,2012,WA,2nd District,REP,Dan Matthews,108785,39.1
2846,house,2012,WA,3rd District,REP,Jaime Herrera Beutler,167322,60.1
2847,house,2012,WA,3rd District,DEM,Jon Haugen,110974,39.9
2848,house,2012,WA,4th District,REP,Doc Hastings,144790,66.7
2849,house,2012,WA,4th District,DEM,Mary Baechler,72189,33.3
2850,house,2012,WA,5th District,REP,Cathy McMorris Rodgers,177481,62.1
2851,house,2012,WA,5th District,DEM,Rich Cowan,108548,38.0
2852,house,2012,WA,6th District,DEM,Derek Kilmer,178701,59.0
2853,house,2012,WA,6th District,REP,Bill Driscoll,124378,41.0
2854,house,2012,WA,7th District,DEM,Jim McDermott,268234,79.5
2855,house,2012,WA,7th District,REP,Ron Bemis,69332,20.5
2856,house,2012,WA,8th District,REP,Dave Reichert,170595,59.9
2857,house,2012,WA,8th District,DEM,Karen Porterfield,114047,40.1
2858,house,2012,WA,9th District,DEM,Adam Smith,175273,71.4
2859,house,2012,WA,9th District,REP,Jim Postma,70126,28.6
2860,house,2012,WA,10th District,DEM,Denny Heck,153066,58.2
2861,house,2012,WA,10th District,REP,Dick Muri,109784,41.8
2862,house,2012,WI,1st District,REP,Paul Ryan,199715,54.9
2863,house,2012,WI,1st District,DEM,Rob Zerban,157721,43.4
2864,house,2012,WI,1st District,Other,Keith Deschler,6029,1.7
2865,house,2012,WI,2nd District,DEM,Mark Pocan,264790,68.0
2866,house,2012,WI,2nd District,REP,Chad Lee,124465,32.0
2867,house,2012,WI,3rd District,DEM,Ron Kind,217328,64.1
2868,house,2012,WI,3rd District,REP,Ray Boland,121536,35.9
2869,house,2012,WI,4th District,DEM,Gwen Moore,234823,72.3
2870,house,2012,WI,4th District,REP,Dan Sebring,80637,24.8
2871,house,2012,WI,4th District,Other,Robert Raymond,9253,2.8
2872,house,2012,WI,5th District,REP,Jim Sensenbrenner,249267,67.9
2873,house,2012,WI,5th District,DEM,Dave Heaster,117972,32.1
2874,house,2012,WI,6th District,REP,Tom Petri,223514,62.1
2875,house,2012,WI,6th District,DEM,Joseph Kallas,136146,37.9
2876,house,2012,WI,7th District,REP,Sean Duffy,201318,56.1
2877,house,2012,WI,7th District,DEM,Pat Kreitlow,157340,43.9
2878,house,2012,WI,8th District,REP,Reid Ribble,198464,55.9
2879,house,2012,WI,8th District,DEM,Jamie Wall,156371,44.1
2880,house,2012,WV,1st District,REP,David McKinley,130783,62.5
2881,house,2012,WV,1st District,DEM,Sue Thorn,78474,37.5
2882,house,2012,WV,2nd District,REP,Shelley Capito,156920,69.8
2883,house,2012,WV,2nd District,DEM,Howard Swint,67965,30.2
2884,house,2012,WV,3rd District,DEM,Nick Rahall,107302,53.9
2885,house,2012,WV,3rd District,REP,Rick Snuffer,91602,46.1
2886,house,2012,WY,1st District,REP,Cynthia Lummis,165773,69.1
2887,house,2012,WY,1st District,DEM,Chris Henrichsen,57148,23.8
2888,house,2012,WY,1st District,Other,Richard Brubaker,8398,3.5
2889,house,2012,WY,1st District,Other,Daniel Cummings,4939,2.1
2890,house,2012,WY,1st District,Other,Don Wills,3750,1.6
2891,house,2014,AK,1st District,REP,Don Young,125410,51.6
2892,house,2014,AK,1st District,DEM,Forrest Dunbar,99069,40.8
2893,house,2014,AK,1st District,Other,Jim McDermott,18365,7.6
2894,house,2014,AL,1st District,REP,Bradley Byrne,103320,68.3
2895,house,2014,AL,1st District,DEM,Burton LeFlore,47913,31.7
2896,house,2014,AL,2nd District,REP,Martha Roby,95073,66.1
2897,house,2014,AL,2nd District,DEM,Erick Wright,48789,33.9
2898,house,2014,AL,3rd District,REP,Mike Rogers,102303,39.6
